C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_32_756.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_32_756.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_32_756.jpg, 0, 0, 0, 7.859448E-05
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_32_856.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_32_856.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_32_856.jpg, 0, 0, 0, 7.836929E-05
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_32_962.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_32_962.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_32_962.jpg, 0, 0, 0, 7.853127E-05
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_066.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_066.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_066.jpg, 0, 0, 0, 7.880522E-05
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_171.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_171.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_171.jpg, 0, 0.1804364, 0, 0.06325754
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_269.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_269.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_269.jpg, 0, 0.4905992, 0, 0.5249332
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_373.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_373.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_373.jpg, 0, 0.7773833, 0, 1.321827
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_480.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_480.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_480.jpg, 0, 1, 0, 2.696361
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_585.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_585.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_585.jpg, 0, 1, 0, 3.868465
C:\Users\Devin\Desktop\data\IMG\center_2019_03_08_15_49_33_687.jpg, C:\Users\Devin\Desktop\data\IMG\left_2019_03_08_15_49_33_687.jpg, C:\Users\Devin\Desktop\data\IMG\right_2019_03_08_15_49_33_687.jpg, 0, 1, 0, 5.036195
